"","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre"
"138",137,10.61,41,"The Red Pyramid (The Kane Chronicles, Book 1)",5025,4.7,"Rick Riordan","Hardcover",2010,"Fiction"
"139",138,18.9,42,"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)",1223,4.8,"Rick Riordan","Paperback",2010,"Fiction"
"140",139,10.2,43,"Little Bee: A Novel",1902,4.2,"Chris Cleave","Paperback",2010,"Fiction"
"141",140,15.79,44,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",1371,4.8,"Ina Garten","Hardcover",2010,"Non Fiction"
"142",141,29.22,45,"George Washington's Sacred Fire",612,4.6,"Peter A. Lillback","Paperback",2010,"Non Fiction"
"143",142,9.21,46,"Radical: Taking Back Your Faith from the American Dream",2727,4.7,"David Platt","Paperback",2010,"Non Fiction"
"144",143,21.49,47,"Towers of Midnight (Wheel of Time, Book Thirteen)",7325,4.8,"Robert Jordan","Hardcover",2010,"Fiction"
"145",144,10.83,48,"Sarah's Key",4784,4.6,"Tatiana de Rosnay","Paperback",2010,"Fiction"
"146",145,22.6,49,"The Hunger Games",42770,4.7,"Suzanne Collins","Hardcover",2010,"Fiction"
"147",146,19.99,51,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",1676,4.6,"Stephen R. Covey","Paperback",2010,"Non Fiction"
"148",147,12,52,"Cleopatra: A Life",1586,4.2,"Stacy Schiff","Hardcover",2010,"Non Fiction"
"149",148,12.23,53,"Freedom: A Novel",2718,4,"Jonathan Franzen","Hardcover",2010,"Fiction"
"150",149,17.48,54,"Freedom",2718,4,"Jonathan Franzen","Hardcover",2010,"Fiction"
"151",150,18.49,55,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",11833,4.7,"Christopher McDougall","Hardcover",2010,"Non Fiction"
"152",151,16.98,56,"Fall of Giants (The Century Trilogy)",18702,4.5,"Ken Follett","Hardcover",2010,"Fiction"
"153",152,9.49,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",8494,4.4,"Elizabeth Gilbert","Paperback",2010,"Non Fiction"
"154",153,9.27,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",8494,4.4,"Elizabeth Gilbert","Paperback",2010,"Non Fiction"
"155",154,27.57,59,"Tao I: The Way of All Life",88,4.3,"Zhi Gang Sha Dr.","Hardcover",2010,"Non Fiction"
"156",155,9.65,60,"Chelsea Chelsea Bang Bang",1045,4.4,"Chelsea Handler","Hardcover",2010,"Non Fiction"
"157",156,8.58,61,"Let the Great World Spin: A Novel",1778,4.3,"Colum McCann","Paperback",2010,"Fiction"
"158",157,14.52,62,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl",5477,4.8,"Ree Drummond","Hardcover",2010,"Non Fiction"
"159",158,12.99,63,"The Tipping Point: How Little Things Can Make a Big Difference",5732,4.4,"Malcolm Gladwell","Paperback",2010,"Non Fiction"
"160",159,10.33,64,"The Omnivore's Dilemma: A Natural History of Four Meals",3678,4.6,"Michael Pollan","Paperback",2010,"Non Fiction"
"161",160,35.3,65,"The Belly Fat Cure: Discover the New Carb Swap Systemâ„¢ and Lose 4 to 9 lbs. Every Week",1071,4.1,"Jorge Cruise","Spiral-bound",2010,"Non Fiction"
"162",161,7.99,66,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",13936,4.8,"Rick Riordan","Paperback",2010,"Fiction"
"163",162,13.39,67,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",18929,4.5,"Timothy Ferriss","Hardcover",2010,"Non Fiction"
"164",163,19.59,68,"Full Dark, No Stars",3418,4.6,"Stephen King","Hardcover",2010,"Fiction"
"165",164,11.37,69,"Sizzling Sixteen (Stephanie Plum Novels)",3421,4.6,"Janet Evanovich","Hardcover",2010,"Fiction"
"166",165,15.99,70,"The Grand Design",2790,4.5,"Stephen Hawking","Hardcover",2010,"Fiction"
"167",166,15,71,"The Overton Window",1311,4.6,"Glenn Beck","Hardcover",2010,"Fiction"
"168",167,7.53,72,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2010,"Non Fiction"
"169",168,12.6,73,"Spoken from the Heart",668,4.6,"Laura Bush","Hardcover",2010,"Non Fiction"
"170",169,21.98,74,"Diary of a Wimpy Kid Do-it-yourself Book",9371,4.8,"Jeff Kinney","Hardcover",2010,"Fiction"
"171",170,15.5,75,"The Book of Awakening: Having the Life You Want by Being Present to the Life You Have",3959,4.7,"Mark Nepo","Paperback",2010,"Non Fiction"
"172",171,28.49,76,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",7568,4.8,"Julia Child","Hardcover",2010,"Non Fiction"
"173",172,14.77,77,"Safe Haven",10931,4.7,"Nicholas Sparks","Hardcover",2010,"Fiction"
"174",173,14.3,78,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",853,4.5,"Daniel G. Amen","Hardcover",2010,"Non Fiction"
"175",174,18.93,79,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",1572,4.5,"Alicia Silverstone","Hardcover",2010,"Non Fiction"
"176",175,44.99,80,"Decoded",1514,4.7,"Jay-Z","Hardcover",2010,"Non Fiction"
"177",176,12.06,81,"The Glass Castle: A Memoir (book)",19006,4.6,"Jeannette Walls","Paperback",2010,"Non Fiction"
"178",177,13.4,82,"The Shack: Where Tragedy Confronts Eternity",23392,4.7,"William P. Young","Paperback",2010,"Fiction"
"179",178,14.3,83,"Breaking Dawn (The Twilight Saga, Book 4)",16912,4.7,"Stephenie Meyer","Hardcover",2010,"Fiction"
"180",179,23.23,84,"Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire)",1234,4.7,"Charlaine Harris","Mass Market Paperback",2010,"Fiction"
"181",180,10.42,85,"The Guernsey Literary and Potato Peel Pie Society",14884,4.7,"Mary Ann Shaffer","Paperback",2010,"Fiction"
"182",181,13.49,86,"Hotel on the Corner of Bitter and Sweet",6239,4.6,"Jamie Ford","Paperback",2010,"Fiction"
"183",182,15.96,87,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",6580,4.4,"Timothy Ferriss","Hardcover",2010,"Non Fiction"
"184",183,17.99,88,"Crucial Conversations: Tools for Talking When Stakes are High",772,4.5,"Kerry Patterson","Paperback",2010,"Non Fiction"
"185",184,11.25,89,"Happy Ever After (Bride Quartet, Book 4)",2206,4.7,"Nora Roberts","Paperback",2010,"Fiction"
"186",185,24.33,90,"A Guide to the Project Management Body of Knowledge",726,4.4,"Project Management Institute","Paperback",2010,"Non Fiction"
"187",186,6.99,91,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2010,"Fiction"
"188",187,13.49,92,"The Catcher in the Rye",30925,4.5,"J. D. Salinger","Paperback",2010,"Fiction"
"189",188,24,93,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",5331,4.7,"Thomas Campbell","Paperback",2010,"Non Fiction"
"190",189,18.47,94,"American Assassin: A Thriller (A Mitch Rapp Novel)",8352,4.6,"Vince Flynn","Hardcover",2010,"Fiction"
"191",190,13.99,95,"Rework",5996,4.5,"Jason Fried","Hardcover",2010,"Non Fiction"
"192",191,10.98,96,"In Defense of Food: An Eater's Manifesto",2701,4.6,"Michael Pollan","Paperback",2010,"Non Fiction"
"193",192,12.92,97,"Squirrel Seeks Chipmunk: A Modest Bestiary",935,4.1,"David Sedaris","Hardcover",2010,"Fiction"
"194",193,16.13,98,"Who Moved My Cheese",16756,4.6,"Spencer Johnson","Hardcover",2010,"Fiction"
"195",194,17.33,1,"Steve Jobs",12780,4.7,"Walter Isaacson","Hardcover",2011,"Non Fiction"
"196",195,10.24,2,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back",17368,4.7,"Todd Burpo","Paperback",2011,"Non Fiction"
"197",196,10.99,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",11127,4.8,"Jeff Kinney","Hardcover",2011,"Fiction"
"198",197,18.29,4,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2011,"Non Fiction"
"199",198,11.69,5,"The Hunger Games (Book 1)",42770,4.7,"Suzanne Collins","Paperback",2011,"Fiction"
"200",199,14.54,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2011,"Non Fiction"
"201",200,15,7,"Inheritance: Book IV (Inheritance Cycle)",9010,4.7,"Christopher Paolini","Hardcover",2011,"Fiction"
"202",201,14.35,8,"Go the F**k to Sleep",20243,4.8,"Adam Mansbach","Hardcover",2011,"Fiction"
"203",202,9.08,9,"Mockingjay (The Hunger Games)",37034,4.6,"Suzanne Collins","Hardcover",2011,"Fiction"
"204",203,54.98,10,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows",6354,4.6,"George R.R. Martin","Mass Market Paperback",2011,"Fiction"
"205",204,9.49,11,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2011,"Fiction"
"206",205,16.97,12,"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results",3104,4.3,"Mike Moreno","Hardcover",2011,"Non Fiction"
