"","book_id","no_of_copies_sold","price","year"
"624",14666,35698,9.67,2015
"625",14648,9187,17.99,2015
"626",11848,86676,7.74,2015
"627",11323,19284,16,2015
"628",13918,53161,4.98,2015
"629",12593,54008,4.93,2015
"630",11039,12674,24.29,2015
"631",11219,20038,12.92,2015
"632",14764,10680,5.67,2015
"633",13885,16882,9.9,2015
"634",13721,7924,14.5,2015
"635",11078,2601,5.38,2015
"636",12550,99932,16.26,2015
"637",12861,8083,14.44,2015
"638",11429,6169,8.73,2015
"639",11763,6646,19.39,2015
"640",12859,10136,14.39,2015
"641",11025,19371,9.99,2015
"642",14176,15554,14.68,2015
"643",11288,12855,5.71,2015
"644",14773,18656,6.79,2015
"645",11411,8066,14.95,2015
"646",14194,6296,20.72,2015
"647",11166,1526,41,2015
"648",12080,32825,9.05,2015
"649",12653,29674,6.92,2015
"650",13022,33598,4.59,2015
"651",11587,5389,13.64,2015
"652",14556,18840,13.3,2015
"653",14607,10316,7.68,2015
"654",13625,33629,12.79,2015
"655",12282,3094,12,2015
"656",13719,7465,11.46,2015
"657",11993,15753,8.95,2015
"658",12896,34955,8.29,2015
"659",14747,24552,9.48,2015
"660",13216,12933,7.99,2015
"661",12775,3834,22.49,2015
"662",12946,11006,19.71,2015
"663",14750,15393,3.97,2015
"664",12029,3754,12.88,2015
"665",14626,2944,3.99,2015
"666",11984,12114,144,2015
"667",12199,4838,6.99,2015
"668",14971,8313,12.74,2015
"669",11716,8573,5.49,2015
"670",14535,29389,18,2015
"671",11388,11859,15.79,2015
"672",13174,3074,12.99,2015
"673",14009,12738,4.98,2015
"674",12498,94750,13.29,2015
"675",13279,5890,13.95,2015
"676",12146,1797,9.99,2015
"677",11731,1958,9.99,2015
"678",14573,30584,9.49,2015
"679",11780,29732,11.29,2015
"680",11079,6281,7.5,2015
"681",11820,72441,7.48,2015
"682",11888,9891,20.97,2015
"683",13647,10429,14.98,2015
"684",13488,1862,10.4,2015
"685",14961,13598,13.48,2015
"686",14414,8204,8.22,2015
"687",13136,47193,4.55,2015
"688",13371,16131,6.78,2015
"689",14180,33321,25.64,2015
"690",12422,17686,13.32,2015
"691",13469,1060,4.72,2015
"692",11243,31815,5.99,2015
"693",13367,43339,11.46,2016
"694",14592,7082,18.29,2016
"695",14109,35236,4.78,2016
"696",14850,28111,8.32,2016
"697",13031,42848,8.48,2016
"698",13093,14027,14.25,2016
"699",11174,29336,12.77,2016
"700",14810,28447,6.9,2016
"701",12807,69866,7.57,2016
"702",12638,15544,14.68,2016
"703",12067,56988,7.63,2016
"704",13373,11308,11.7,2016
"705",12791,79094,10.5,2016
"706",13168,10133,12.07,2016
"707",11669,10751,4.99,2016
"708",12138,68842,17.36,2016
